cool,56,59,62,65,68,71,74,77,80,83,86,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warm,92,95,98,101,104,107,2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic,80,89,98,107,8,17,26,35,44,110,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earthy,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,9,18,27,36,45,0,0,0,0,0,0,0,0,0,0,0
gloomy,73,76,79,82,85,88,91,94,97,100,103,106,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,109,110,64,67,70,0,0,0,0,0
luxurious,71,80,89,98,107,8,17,26,35,44,111,79,88,97,106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pastels,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111
